직무,경력,지역,회사규모,재택비율,기술_개수,연봉
데이터 분석가,경력,경기,S,0,4,8574
데이터 분석가,경력,경기,L,100,4,11739
데이터 엔지니어,경력,경기,M,50,4,8652
퍼포먼스 마케터,경력,서울,M,50,1,5893
백엔드 개발자,경력,서울,S,0,2,6267
백엔드 개발자,신입,서울,M,100,3,4093
인사 총무,경력,경기,M,100,2,3332
데이터 분석가,경력,경기,M,100,4,8727
퍼포먼스 마케터,신입,경기,S,0,2,3612
데이터 분석가,신입,서울,M,50,2,4341
경리 회계,경력,인천,S,100,1,3169
UI/UX 디자이너,신입,경기,S,0,2,4450
백엔드 개발자,경력,부산,L,0,5,7785
데이터 분석가,경력,서울,M,0,2,4772
UI/UX 디자이너,경력,경기,M,0,3,5570
백엔드 개발자,경력,경기,L,0,3,7681
영업 지원,신입,서울,M,100,3,2696
UI/UX 디자이너,경력,경기,M,50,2,6033
백엔드 개발자,신입,서울,L,0,2,7389
프론트엔드 개발자,경력,서울,L,100,5,8275
데이터 분석가,경력,서울,M,0,2,7287
데이터 분석가,경력,서울,L,0,5,8891
데이터 분석가,경력,서울,L,50,2,10367
프론트엔드 개발자,경력,경기,S,50,5,5221
백엔드 개발자,경력,인천,S,50,4,6267
프론트엔드 개발자,경력,경기,S,50,5,6275
데이터 분석가,신입,서울,L,100,3,7172
UI/UX 디자이너,신입,경기,M,100,2,4168
백엔드 개발자,경력,서울,S,50,2,6802
퍼포먼스 마케터,신입,서울,M,100,3,2363
경리 회계,경력,서울,S,0,2,3598
백엔드 개발자,신입,서울,M,100,5,3750
백엔드 개발자,경력,서울,M,50,4,7781
프론트엔드 개발자,경력,경기,L,50,3,8116
퍼포먼스 마케터,경력,서울,L,0,1,7142
프론트엔드 개발자,경력,서울,M,50,5,5923
경리 회계,경력,부산,L,50,3,4055
백엔드 개발자,경력,서울,L,0,3,7836
데이터 분석가,경력,경기,L,0,3,7393
데이터 엔지니어,경력,경기,M,100,5,10329
데이터 분석가,경력,서울,S,100,4,7822
데이터 분석가,경력,서울,S,0,4,7885
경리 회계,경력,대전,S,0,2,3101
UI/UX 디자이너,경력,서울,S,50,1,4622
백엔드 개발자,경력,부산,S,100,2,4763
UI/UX 디자이너,경력,서울,M,0,3,5355
데이터 분석가,신입,서울,M,0,4,3322
프론트엔드 개발자,신입,서울,M,0,2,4354
백엔드 개발자,경력,경기,L,50,3,7401
영업 지원,신입,경기,S,50,3,3065
데이터 분석가,경력,서울,S,0,4,7417
백엔드 개발자,경력,서울,M,0,5,6742
백엔드 개발자,경력,서울,L,50,2,6960
데이터 분석가,신입,서울,L,50,5,5376
일반사무,경력,경기,S,50,2,3006
백엔드 개발자,경력,인천,M,50,3,7214
백엔드 개발자,경력,서울,M,50,3,7659
데이터 분석가,경력,서울,S,0,3,8074
인사 총무,신입,인천,S,100,1,2000
경리 회계,신입,서울,M,50,2,2583
경리 회계,경력,경기,S,100,1,3097
UI/UX 디자이너,경력,경기,M,0,3,5454
프론트엔드 개발자,경력,서울,M,50,4,7374
데이터 분석가,경력,경기,L,50,2,10909
데이터 엔지니어,경력,서울,L,0,4,10536
데이터 엔지니어,신입,서울,M,0,4,5100
UI/UX 디자이너,신입,경기,M,0,1,3482
데이터 분석가,경력,경기,M,0,4,6396
데이터 분석가,신입,서울,M,0,4,5729
데이터 엔지니어,경력,서울,M,50,5,10642
데이터 분석가,경력,경기,M,0,4,8096
일반사무,경력,서울,M,100,2,3123
UI/UX 디자이너,경력,경기,S,0,1,6060
프론트엔드 개발자,경력,서울,S,50,2,7047
고객상담 CS,경력,대전,L,50,3,3015
일반사무,경력,경기,M,0,1,4304
프론트엔드 개발자,신입,경기,M,100,2,4020
퍼포먼스 마케터,경력,부산,S,0,3,4603
퍼포먼스 마케터,경력,서울,S,50,3,5577
백엔드 개발자,신입,인천,L,100,3,6615
인사 총무,경력,경기,L,50,3,4895
퍼포먼스 마케터,신입,부산,M,0,2,3169
데이터 엔지니어,경력,대전,S,50,5,6563
백엔드 개발자,신입,서울,S,100,2,3313
고객상담 CS,경력,서울,M,0,3,3401
데이터 분석가,신입,경기,S,0,3,6023
프론트엔드 개발자,경력,서울,S,100,3,4907
데이터 분석가,경력,서울,S,50,2,7590
데이터 분석가,경력,경기,S,100,4,7650
데이터 분석가,경력,울산,M,50,4,3807
데이터 엔지니어,경력,서울,S,0,5,7391
데이터 엔지니어,경력,서울,M,50,2,8558
프론트엔드 개발자,경력,서울,S,0,5,5727
퍼포먼스 마케터,경력,서울,M,50,2,6647
경리 회계,경력,서울,M,50,3,3593
고객상담 CS,경력,서울,S,50,3,3005
UI/UX 디자이너,경력,인천,S,0,1,5878
고객상담 CS,경력,경기,S,50,3,2444
데이터 분석가,경력,광주,M,50,4,6718
경리 회계,경력,서울,L,50,1,4528
백엔드 개발자,신입,서울,S,50,5,3985
데이터 분석가,경력,경기,M,50,5,6644
백엔드 개발자,신입,서울,S,50,2,5753
경리 회계,경력,서울,S,50,3,3104
일반사무,신입,서울,S,0,1,2645
백엔드 개발자,신입,서울,S,50,4,4406
데이터 엔지니어,경력,대전,M,100,3,6928
퍼포먼스 마케터,신입,서울,M,50,1,3106
백엔드 개발자,신입,서울,S,50,5,2532
프론트엔드 개발자,신입,경기,S,50,4,5017
데이터 분석가,경력,경기,S,50,3,7626
고객상담 CS,신입,서울,M,100,3,2018
프론트엔드 개발자,신입,서울,M,0,5,4292
백엔드 개발자,경력,경기,S,100,5,6876
인사 총무,경력,서울,S,0,2,3215
프론트엔드 개발자,경력,서울,S,0,5,5751
백엔드 개발자,경력,서울,M,50,4,8476
데이터 분석가,신입,경기,M,0,3,3787
데이터 엔지니어,신입,서울,M,0,4,4145
백엔드 개발자,경력,서울,L,50,3,7859
경리 회계,경력,부산,M,100,1,2765
데이터 분석가,경력,경기,M,50,4,7150
UI/UX 디자이너,신입,경기,S,0,1,2000
UI/UX 디자이너,경력,대구,M,0,3,6028
데이터 엔지니어,경력,경기,M,50,5,7880
백엔드 개발자,경력,대전,S,50,5,5460
데이터 엔지니어,경력,경기,M,50,5,8492
경리 회계,신입,서울,M,100,2,3741
UI/UX 디자이너,경력,서울,L,0,2,8090
UI/UX 디자이너,신입,서울,L,50,3,3926
데이터 엔지니어,경력,서울,L,100,5,11879
백엔드 개발자,경력,서울,S,0,3,6943
데이터 분석가,경력,경기,S,0,2,5777
백엔드 개발자,신입,경기,M,50,2,4653
경리 회계,신입,서울,M,50,3,2000
데이터 엔지니어,경력,서울,M,100,4,10033
백엔드 개발자,신입,서울,S,50,2,3958
인사 총무,경력,서울,L,50,2,4744
데이터 분석가,경력,경기,S,0,4,7060
영업 지원,경력,서울,S,50,1,4070
백엔드 개발자,경력,경기,M,0,3,7312
백엔드 개발자,경력,경기,L,50,2,7343
경리 회계,경력,인천,S,50,3,3759
데이터 엔지니어,경력,서울,M,50,4,8831
백엔드 개발자,경력,서울,M,50,4,7769
고객상담 CS,신입,경기,S,50,3,2000
고객상담 CS,경력,서울,M,50,1,4170
데이터 엔지니어,경력,대전,M,100,5,7230
데이터 분석가,신입,광주,S,50,2,3368
일반사무,경력,서울,L,0,2,4483
데이터 엔지니어,경력,경기,S,100,3,8767
백엔드 개발자,경력,서울,L,100,4,5238
영업 지원,경력,서울,L,0,1,6160
일반사무,경력,경기,M,100,1,3364
UI/UX 디자이너,경력,서울,M,0,1,7777
데이터 분석가,신입,경기,M,50,4,6104
일반사무,신입,부산,M,0,3,2608
백엔드 개발자,신입,서울,L,0,4,5542
영업 지원,신입,서울,M,0,1,3785
데이터 엔지니어,경력,경기,M,50,4,8178
영업 지원,경력,대구,S,50,2,3360
데이터 엔지니어,경력,경기,S,100,5,5455
UI/UX 디자이너,경력,서울,L,50,1,8545
인사 총무,신입,서울,S,100,2,2140
데이터 엔지니어,경력,경기,M,50,3,6085
퍼포먼스 마케터,경력,서울,M,100,3,4582
데이터 엔지니어,경력,부산,S,50,4,6746
경리 회계,경력,경기,L,50,3,4628
영업 지원,경력,경기,S,50,2,3834
고객상담 CS,경력,광주,M,100,1,3605
경리 회계,신입,경기,M,100,1,2450
데이터 분석가,경력,경기,S,0,2,6997
데이터 엔지니어,경력,대구,S,0,4,5794
프론트엔드 개발자,경력,서울,L,0,2,8328
백엔드 개발자,경력,인천,M,0,4,5346
데이터 엔지니어,경력,광주,M,100,2,8186
백엔드 개발자,경력,경기,M,50,2,8806
인사 총무,신입,서울,S,0,3,2351
영업 지원,경력,서울,M,0,2,3244
백엔드 개발자,신입,대구,M,50,5,5271
데이터 엔지니어,경력,대구,M,50,4,5986
경리 회계,신입,경기,S,0,2,2000
경리 회계,신입,대구,M,50,1,2594
백엔드 개발자,경력,인천,M,50,4,7880
데이터 엔지니어,경력,경기,L,100,2,8725
경리 회계,신입,경기,L,100,1,2125
데이터 분석가,신입,서울,L,50,5,5941
고객상담 CS,경력,경기,M,50,2,4145
데이터 분석가,신입,서울,M,0,3,5881
백엔드 개발자,신입,부산,L,0,4,4866
퍼포먼스 마케터,경력,서울,M,0,1,5594
데이터 엔지니어,신입,대전,S,50,2,4977
백엔드 개발자,경력,서울,S,50,5,7263
프론트엔드 개발자,신입,인천,M,100,4,4003
데이터 분석가,신입,경기,S,0,4,3753
UI/UX 디자이너,경력,경기,M,100,3,4712
데이터 분석가,경력,서울,L,50,2,8295
프론트엔드 개발자,신입,서울,M,0,2,4928
데이터 분석가,경력,서울,S,50,4,6566
퍼포먼스 마케터,경력,서울,L,0,2,7769
데이터 엔지니어,경력,서울,S,0,3,6076
데이터 분석가,경력,서울,M,50,5,9346
백엔드 개발자,경력,부산,M,50,3,4907
영업 지원,경력,서울,M,100,1,4581
백엔드 개발자,경력,서울,M,50,4,8872
백엔드 개발자,경력,부산,M,100,4,5594
경리 회계,경력,서울,M,50,2,3947
데이터 분석가,경력,서울,L,50,4,8246
퍼포먼스 마케터,경력,부산,L,100,2,6393
데이터 분석가,경력,대전,M,100,3,7481
데이터 분석가,신입,서울,S,50,5,4528
데이터 엔지니어,경력,서울,L,0,4,10267
일반사무,경력,서울,S,50,2,3828
데이터 엔지니어,경력,서울,M,0,2,9957
데이터 엔지니어,신입,대구,M,50,5,6252
퍼포먼스 마케터,경력,서울,M,50,2,6528
고객상담 CS,신입,서울,S,0,1,2121
프론트엔드 개발자,경력,서울,S,0,5,7055
프론트엔드 개발자,경력,서울,L,0,5,7023
일반사무,경력,서울,S,50,3,2888
데이터 엔지니어,경력,서울,M,50,5,10770
데이터 분석가,신입,인천,M,100,2,6421
프론트엔드 개발자,경력,서울,M,100,5,5907
영업 지원,경력,서울,M,50,1,4892
영업 지원,경력,광주,S,100,1,3544
고객상담 CS,경력,광주,L,0,2,2790
영업 지원,경력,울산,M,0,2,4240
데이터 엔지니어,신입,서울,M,50,5,6072
백엔드 개발자,신입,서울,M,0,4,6744
영업 지원,경력,서울,L,50,3,5639
데이터 엔지니어,경력,대구,M,0,3,8862
퍼포먼스 마케터,신입,서울,S,100,1,2955
데이터 엔지니어,경력,경기,S,50,5,6380
경리 회계,경력,대구,M,0,2,3191
고객상담 CS,경력,경기,M,50,3,3502
프론트엔드 개발자,경력,경기,M,50,2,7032
고객상담 CS,경력,경기,L,50,3,4034
백엔드 개발자,신입,경기,L,50,5,5204
데이터 엔지니어,신입,대구,L,100,5,6728
UI/UX 디자이너,경력,서울,L,50,3,8202
일반사무,경력,경기,M,50,2,3860
데이터 엔지니어,신입,서울,S,0,2,4133
데이터 엔지니어,경력,서울,S,100,5,10938
데이터 분석가,경력,경기,L,0,5,6921
백엔드 개발자,경력,서울,M,50,4,7098
데이터 엔지니어,경력,울산,L,50,3,9319
백엔드 개발자,경력,경기,M,100,4,8473
일반사무,경력,서울,M,50,3,4127
인사 총무,경력,서울,M,0,3,3769
일반사무,신입,경기,M,100,2,2000
UI/UX 디자이너,신입,서울,L,50,1,5703
데이터 엔지니어,신입,경기,M,0,3,4231
퍼포먼스 마케터,경력,서울,L,100,1,7941
영업 지원,경력,경기,S,50,3,4555
데이터 분석가,신입,경기,M,100,2,5711
데이터 분석가,신입,서울,M,100,5,5114
데이터 분석가,경력,서울,S,0,4,6674
백엔드 개발자,경력,서울,S,0,2,7086
백엔드 개발자,경력,서울,L,0,2,7884
UI/UX 디자이너,경력,경기,M,0,1,6770
고객상담 CS,경력,서울,M,50,1,3765
백엔드 개발자,경력,서울,L,50,5,9299
퍼포먼스 마케터,경력,대전,S,0,2,3614
프론트엔드 개발자,신입,서울,M,100,5,5092
백엔드 개발자,신입,경기,S,100,2,4138
데이터 분석가,신입,서울,L,50,4,6423
인사 총무,경력,서울,M,50,3,4574
UI/UX 디자이너,경력,경기,S,50,2,6410
데이터 엔지니어,경력,대구,L,0,4,6619
인사 총무,경력,경기,L,0,2,4642
데이터 분석가,경력,서울,S,50,3,8132
데이터 엔지니어,신입,경기,M,50,3,5903
데이터 엔지니어,경력,서울,M,50,4,11263
영업 지원,경력,인천,L,50,3,2891
퍼포먼스 마케터,경력,인천,L,100,1,6347
프론트엔드 개발자,경력,경기,M,0,2,6174
데이터 엔지니어,경력,서울,S,100,4,10546
프론트엔드 개발자,경력,경기,S,50,3,6399
퍼포먼스 마케터,경력,대전,L,50,2,4025
데이터 분석가,신입,경기,L,50,5,5177
UI/UX 디자이너,경력,서울,M,50,3,7845
데이터 엔지니어,경력,인천,S,0,5,7643
데이터 분석가,신입,서울,M,100,5,5197
퍼포먼스 마케터,경력,서울,L,50,3,6545
데이터 엔지니어,신입,서울,S,0,5,4518
데이터 엔지니어,경력,경기,M,100,4,9510
백엔드 개발자,경력,서울,L,0,5,8330
백엔드 개발자,경력,부산,M,100,2,5643
데이터 분석가,경력,울산,S,0,5,7213
프론트엔드 개발자,신입,경기,L,50,5,5667
백엔드 개발자,신입,인천,L,50,4,5033
고객상담 CS,경력,서울,M,100,1,3524
퍼포먼스 마케터,경력,경기,M,0,2,6117
프론트엔드 개발자,경력,경기,L,0,4,7752
데이터 분석가,신입,경기,S,0,5,2994
UI/UX 디자이너,신입,대구,M,50,1,3268
UI/UX 디자이너,경력,서울,S,0,1,4893
데이터 엔지니어,경력,경기,S,0,5,5564
백엔드 개발자,경력,서울,M,100,5,9422
영업 지원,경력,경기,S,50,2,2998
퍼포먼스 마케터,경력,서울,S,0,2,3847
일반사무,신입,경기,M,100,2,2252
데이터 엔지니어,신입,서울,S,100,5,6885
백엔드 개발자,경력,경기,S,50,5,7836
데이터 엔지니어,경력,경기,M,0,5,8632
고객상담 CS,경력,경기,M,0,1,3170
백엔드 개발자,경력,서울,M,50,5,6575
데이터 엔지니어,경력,대전,S,0,2,7803
인사 총무,경력,경기,M,0,3,3777
프론트엔드 개발자,경력,서울,S,100,3,7932
데이터 분석가,경력,경기,M,50,4,8281
데이터 엔지니어,경력,인천,M,0,4,9038
데이터 분석가,경력,경기,S,0,4,4390
백엔드 개발자,경력,경기,M,0,2,7771
데이터 분석가,신입,서울,M,50,5,4767
데이터 엔지니어,경력,서울,M,0,4,7361
데이터 엔지니어,경력,경기,M,0,2,8557
데이터 분석가,신입,부산,M,50,5,5705
백엔드 개발자,신입,서울,S,50,3,3745
백엔드 개발자,경력,서울,M,0,3,7168
데이터 엔지니어,경력,광주,M,0,4,5908
인사 총무,경력,경기,M,0,1,3957
백엔드 개발자,경력,서울,M,50,5,7266
데이터 엔지니어,경력,서울,S,50,4,8945
경리 회계,신입,서울,M,0,1,3128
프론트엔드 개발자,경력,경기,M,50,2,7110
퍼포먼스 마케터,신입,서울,S,100,3,2000
UI/UX 디자이너,경력,서울,S,50,2,6309
UI/UX 디자이너,경력,경기,L,100,3,8213
백엔드 개발자,경력,서울,M,0,3,6160
고객상담 CS,경력,경기,M,50,1,2398
영업 지원,경력,서울,M,0,2,3596
백엔드 개발자,신입,인천,M,0,3,4663
데이터 분석가,경력,경기,M,50,2,8757
데이터 엔지니어,경력,서울,M,50,2,7044
프론트엔드 개발자,경력,부산,M,0,2,4964
프론트엔드 개발자,경력,경기,L,0,5,8851
UI/UX 디자이너,신입,서울,L,50,2,6881
데이터 엔지니어,경력,경기,L,0,5,7871
인사 총무,경력,서울,S,0,3,4595
고객상담 CS,경력,경기,L,50,1,3123
프론트엔드 개발자,경력,대전,M,50,4,5404
프론트엔드 개발자,신입,경기,S,100,5,4013
프론트엔드 개발자,신입,경기,M,100,5,4473
백엔드 개발자,경력,경기,M,50,4,7153
퍼포먼스 마케터,경력,서울,S,0,1,4845
데이터 분석가,경력,경기,M,0,3,9517
데이터 엔지니어,경력,서울,S,100,4,8432
일반사무,신입,서울,M,0,1,2077
프론트엔드 개발자,신입,경기,M,0,5,4790
백엔드 개발자,경력,경기,L,50,4,8617
고객상담 CS,신입,서울,S,0,3,2000
데이터 분석가,신입,경기,M,0,3,3735
데이터 분석가,경력,대전,S,100,3,5692
데이터 엔지니어,경력,대구,M,0,3,8224
데이터 분석가,신입,경기,L,100,5,7538
일반사무,신입,경기,S,50,3,2000
UI/UX 디자이너,경력,서울,L,50,1,7896
데이터 분석가,경력,서울,S,0,3,8124
데이터 분석가,경력,서울,M,50,4,9289
UI/UX 디자이너,신입,서울,L,100,1,4866
데이터 분석가,경력,인천,M,100,2,6162
일반사무,경력,서울,M,50,1,3007
경리 회계,신입,서울,L,100,3,3017
데이터 분석가,경력,서울,M,50,3,7901
프론트엔드 개발자,경력,경기,M,50,5,7153
데이터 분석가,경력,서울,L,50,4,8009
데이터 분석가,신입,대전,M,100,5,4340
백엔드 개발자,신입,서울,S,0,4,4976
프론트엔드 개발자,경력,경기,S,50,5,4917
퍼포먼스 마케터,신입,서울,M,50,2,4334
프론트엔드 개발자,경력,서울,S,100,4,7321
경리 회계,경력,서울,M,100,3,3347
영업 지원,경력,경기,S,50,2,3631
영업 지원,경력,경기,M,0,3,3665
백엔드 개발자,신입,서울,M,50,5,3419
데이터 엔지니어,경력,서울,M,100,4,9147
인사 총무,신입,경기,S,0,2,2000
영업 지원,신입,경기,S,50,2,5272
프론트엔드 개발자,경력,서울,L,0,3,6392
UI/UX 디자이너,경력,경기,M,100,3,5889
영업 지원,경력,서울,M,50,3,3312
경리 회계,경력,서울,M,100,2,4620
퍼포먼스 마케터,경력,경기,M,50,1,5131
데이터 엔지니어,신입,서울,S,0,4,5561
프론트엔드 개발자,경력,울산,L,50,3,5626
백엔드 개발자,경력,서울,S,0,3,6859
퍼포먼스 마케터,신입,광주,M,50,2,3595
영업 지원,경력,경기,M,0,2,4149
백엔드 개발자,경력,서울,M,50,3,7675
백엔드 개발자,신입,인천,S,0,4,3598
프론트엔드 개발자,경력,서울,L,0,3,7059
데이터 엔지니어,경력,서울,S,50,5,9055
백엔드 개발자,신입,서울,L,50,4,5517
백엔드 개발자,신입,인천,S,50,4,4796
퍼포먼스 마케터,경력,경기,S,0,3,3170
데이터 엔지니어,신입,경기,M,0,5,3233
퍼포먼스 마케터,경력,부산,M,50,1,5122
데이터 엔지니어,경력,경기,S,0,4,7291
퍼포먼스 마케터,경력,대구,M,0,2,5113
UI/UX 디자이너,신입,경기,S,100,1,3026
퍼포먼스 마케터,경력,부산,M,50,3,4364
프론트엔드 개발자,경력,경기,M,50,4,6656
영업 지원,신입,서울,M,0,3,2000
인사 총무,경력,울산,M,0,1,3229
데이터 분석가,경력,경기,M,0,2,8840
데이터 엔지니어,경력,인천,S,50,2,6721
퍼포먼스 마케터,경력,경기,M,0,3,5743
프론트엔드 개발자,경력,서울,L,0,2,7723
인사 총무,경력,경기,M,100,2,4600
데이터 엔지니어,경력,서울,S,0,3,7516
인사 총무,경력,서울,L,50,2,3387
백엔드 개발자,신입,경기,M,0,2,4303
UI/UX 디자이너,신입,경기,M,0,1,3585
인사 총무,경력,경기,S,100,2,4366
데이터 분석가,경력,서울,M,0,2,7951
영업 지원,경력,서울,L,50,1,4610
데이터 분석가,경력,대전,M,0,3,5756
백엔드 개발자,신입,서울,M,50,3,3461
백엔드 개발자,경력,경기,S,50,3,5433
UI/UX 디자이너,신입,대구,M,100,1,3742
프론트엔드 개발자,경력,서울,S,0,4,5768
UI/UX 디자이너,경력,서울,L,50,2,7995
백엔드 개발자,경력,경기,M,50,2,7691
일반사무,경력,경기,S,0,2,2515
퍼포먼스 마케터,경력,서울,L,50,2,7281
백엔드 개발자,경력,인천,M,100,2,6839
백엔드 개발자,경력,부산,M,50,3,7078
UI/UX 디자이너,경력,서울,S,50,2,5836
데이터 엔지니어,경력,서울,S,50,5,8129
영업 지원,경력,경기,M,0,2,4139
백엔드 개발자,경력,서울,M,0,3,7456
일반사무,신입,부산,L,0,2,2064
UI/UX 디자이너,경력,부산,S,50,3,6448
백엔드 개발자,경력,서울,M,50,5,6594
퍼포먼스 마케터,경력,인천,L,0,3,6220
백엔드 개발자,신입,경기,S,50,5,4733
데이터 분석가,신입,광주,S,0,5,4826
데이터 엔지니어,신입,경기,L,50,5,6758
경리 회계,경력,서울,M,100,2,3452
데이터 분석가,경력,부산,S,100,2,6856
프론트엔드 개발자,신입,서울,S,0,2,2963
UI/UX 디자이너,신입,서울,S,50,3,4699
데이터 엔지니어,경력,서울,S,50,4,6939
데이터 분석가,경력,서울,M,50,5,10084
백엔드 개발자,경력,경기,M,0,5,4896
프론트엔드 개발자,경력,서울,M,0,2,7213
데이터 분석가,경력,경기,M,50,3,7670
백엔드 개발자,경력,부산,S,0,4,4691
프론트엔드 개발자,경력,서울,M,0,4,8154
퍼포먼스 마케터,경력,경기,S,0,3,4605
영업 지원,경력,서울,L,0,2,5247
백엔드 개발자,경력,서울,S,100,3,6963
인사 총무,경력,대전,L,100,1,4740
데이터 엔지니어,경력,부산,S,0,5,4317
일반사무,경력,서울,L,100,3,4644
프론트엔드 개발자,경력,서울,S,0,5,6792
퍼포먼스 마케터,신입,서울,M,0,2,3421
데이터 분석가,신입,서울,M,50,5,5021
UI/UX 디자이너,경력,서울,M,100,1,7223
경리 회계,경력,서울,S,0,1,2771
고객상담 CS,경력,인천,M,50,3,2778
UI/UX 디자이너,신입,경기,M,0,1,3951
데이터 분석가,경력,서울,S,50,4,10496
UI/UX 디자이너,경력,부산,M,0,1,4342
영업 지원,경력,울산,M,0,1,4239
데이터 엔지니어,신입,서울,M,0,3,3935
경리 회계,경력,경기,M,50,1,3857
데이터 엔지니어,경력,대전,M,0,4,8648
백엔드 개발자,경력,서울,L,0,4,7144
데이터 분석가,경력,경기,S,100,3,8039
데이터 엔지니어,경력,서울,S,0,3,8182
일반사무,경력,인천,L,50,2,3632
데이터 분석가,경력,서울,L,50,5,10541
백엔드 개발자,경력,서울,S,0,2,5341
백엔드 개발자,신입,서울,M,0,3,5004
UI/UX 디자이너,경력,서울,M,100,1,8372
고객상담 CS,경력,서울,M,100,1,3820
인사 총무,신입,경기,M,0,3,2066
데이터 분석가,경력,경기,M,50,4,9410
프론트엔드 개발자,경력,서울,M,100,5,6019
데이터 분석가,경력,경기,M,100,3,10395
백엔드 개발자,신입,인천,M,0,5,2229
백엔드 개발자,신입,대구,S,100,5,6209
영업 지원,경력,서울,L,0,2,4973
프론트엔드 개발자,경력,경기,S,50,3,4648
프론트엔드 개발자,경력,서울,L,50,3,6589
고객상담 CS,경력,부산,S,50,1,2286
백엔드 개발자,경력,서울,L,50,4,7505
백엔드 개발자,경력,경기,S,50,3,6789
데이터 분석가,경력,인천,S,50,2,6496
UI/UX 디자이너,경력,서울,M,0,1,7220
데이터 엔지니어,경력,서울,S,50,4,7780
프론트엔드 개발자,경력,서울,L,0,5,7240
데이터 분석가,신입,서울,S,0,4,5616
인사 총무,신입,서울,M,100,3,2901
퍼포먼스 마케터,경력,경기,M,50,3,4532
데이터 분석가,경력,경기,S,0,2,6891
일반사무,경력,서울,L,50,1,5085
데이터 엔지니어,경력,인천,M,0,3,9160
프론트엔드 개발자,경력,부산,L,0,4,8125
데이터 분석가,경력,부산,M,100,5,8527
프론트엔드 개발자,경력,울산,M,100,3,6941
고객상담 CS,경력,경기,M,100,1,3539
데이터 분석가,신입,서울,L,0,2,5952
영업 지원,경력,경기,M,50,1,4518
데이터 분석가,경력,경기,M,0,5,7369
퍼포먼스 마케터,신입,서울,L,100,1,4765
데이터 분석가,경력,경기,M,0,3,6751
일반사무,신입,경기,S,50,3,2200
프론트엔드 개발자,경력,서울,M,100,5,6702
데이터 분석가,신입,경기,L,0,3,4112
일반사무,신입,서울,M,0,1,3153
일반사무,경력,서울,S,100,1,3945
일반사무,경력,부산,S,0,1,2446
데이터 엔지니어,경력,서울,L,50,4,11387
고객상담 CS,경력,인천,M,0,3,3131
퍼포먼스 마케터,신입,서울,L,0,1,5316
프론트엔드 개발자,경력,경기,L,0,5,8540
데이터 분석가,경력,경기,S,50,2,7449
데이터 엔지니어,경력,서울,S,0,5,7539
UI/UX 디자이너,경력,경기,S,100,2,6857
인사 총무,경력,대구,M,0,1,2609
퍼포먼스 마케터,경력,경기,M,0,3,5106
경리 회계,경력,경기,S,50,2,2604
일반사무,신입,서울,M,0,1,2478
데이터 분석가,경력,대구,S,50,2,5223
고객상담 CS,경력,서울,S,50,2,3439
인사 총무,경력,부산,M,50,3,4107
백엔드 개발자,경력,서울,M,0,3,8214
UI/UX 디자이너,신입,서울,M,0,3,4301
데이터 분석가,신입,경기,M,50,2,5021
일반사무,경력,경기,M,0,3,2980
프론트엔드 개발자,경력,울산,S,0,4,5247
프론트엔드 개발자,경력,서울,M,0,3,6225
프론트엔드 개발자,경력,경기,S,0,2,5640
퍼포먼스 마케터,경력,경기,M,100,2,5487
영업 지원,경력,서울,L,100,1,4742
백엔드 개발자,경력,부산,S,100,5,6678
프론트엔드 개발자,신입,경기,S,0,4,2732
데이터 분석가,경력,경기,S,0,4,3837
프론트엔드 개발자,신입,서울,L,0,3,3677
영업 지원,경력,서울,M,100,1,4182
데이터 엔지니어,경력,서울,S,0,4,6591
데이터 분석가,경력,인천,L,50,2,10709
데이터 분석가,경력,서울,L,0,4,9676
데이터 엔지니어,경력,서울,L,0,4,9772
데이터 분석가,경력,서울,S,0,5,7077
데이터 분석가,경력,서울,M,50,2,6069
일반사무,신입,경기,L,50,2,2000
데이터 분석가,경력,서울,M,100,3,8363
데이터 엔지니어,신입,서울,M,50,5,5194
경리 회계,경력,인천,S,0,3,3537
데이터 엔지니어,경력,서울,L,0,5,8645
데이터 엔지니어,경력,서울,S,50,5,5793
데이터 분석가,경력,서울,S,100,5,7782
영업 지원,경력,부산,M,50,2,4568
데이터 분석가,경력,서울,S,0,5,7347
UI/UX 디자이너,경력,서울,S,50,1,6258
백엔드 개발자,신입,서울,M,50,2,6077
데이터 엔지니어,경력,서울,M,0,5,9899
프론트엔드 개발자,경력,경기,L,100,3,7869
데이터 엔지니어,신입,경기,M,50,4,7052
경리 회계,경력,서울,L,50,3,3906
데이터 엔지니어,경력,경기,L,0,3,7635
데이터 엔지니어,경력,부산,S,0,2,9096
UI/UX 디자이너,신입,서울,L,0,2,5857
데이터 분석가,경력,경기,M,100,3,7960
데이터 분석가,경력,서울,L,50,2,9152
데이터 분석가,경력,서울,L,50,2,11374
영업 지원,경력,대전,M,100,3,4139
영업 지원,경력,대구,M,50,1,4657
백엔드 개발자,경력,서울,M,0,3,7164
퍼포먼스 마케터,신입,인천,M,100,3,3694
데이터 엔지니어,경력,부산,M,0,5,8518
데이터 분석가,경력,인천,M,100,3,6797
퍼포먼스 마케터,경력,인천,M,0,1,3891
데이터 분석가,경력,서울,S,50,3,8073
프론트엔드 개발자,신입,대구,S,0,5,2898
경리 회계,경력,경기,L,100,1,3719
데이터 엔지니어,신입,서울,S,50,2,3412
데이터 분석가,경력,경기,L,100,4,9655
데이터 분석가,경력,경기,M,100,2,6167
데이터 엔지니어,경력,인천,S,50,2,6178
인사 총무,신입,부산,S,100,1,2000
